Quantity of product,Income,Cost,Net Income,Avg Cost
5983,335048,559957.6,-224909.59999999998,93.59
6048,338688,559976.1,-221288.09999999998,92.59
5968,334208,560018.56,-225810.56000000006,93.84
6008,336448,559926.2,-223478.19999999995,93.2
6011,336616,559945.8,-223329.80000000005,93.15
6025,337400,559935.28,-222535.28000000003,92.94
6005,336280,559966.52,-223686.52000000002,93.25
6009,336504,560019.4,-223515.40000000002,93.2
5990,335440,559972.6000000001,-224532.6000000001,93.48
5987,335272,559965.22,-224693.21999999997,93.53
6001,336056,560006.6599999999,-223950.65999999992,93.32
6007,336392,559986.27,-223594.27000000002,93.22
6022,337232,560023.0,-222791.0,93.0
6017,336952,559924.48,-222972.47999999998,93.06
5987,335272,560011.99,-224739.99,93.54
6001,336056,560006.6599999999,-223950.65999999992,93.32
5964,333984,560009.8,-226025.80000000005,93.9
5997,335832,559953.24,-224121.24,93.37
5990,335440,559972.6000000001,-224532.6000000001,93.48
5989,335384,559939.0,-224555.0,93.49
5982,334992,560017.42,-225025.42000000004,93.62
6035,337960,559977.6,-222017.59999999998,92.79
6030,337680,559972.9,-222292.90000000002,92.86
5962,333872,559928.56,-226056.56000000006,93.92
6017,336952,559924.48,-222972.47999999998,93.06
5999,335944,559973.3300000001,-224029.33000000007,93.34
6003,336168,559979.9199999999,-223811.91999999993,93.28
6013,336728,559978.8400000001,-223250.84000000008,93.13
5979,334824,559949.74,-225125.74,93.65
6021,337176,559930.0,-222754.0,93.0
6013,336728,559978.8400000001,-223250.84000000008,93.13
6029,337624,559986.76,-222362.76,92.88
5946,332976,559997.14,-227021.14,94.18
6016,336896,559984.64,-223088.64,93.08
6003,336168,559979.9199999999,-223811.91999999993,93.28
6005,336280,559966.52,-223686.52000000002,93.25
5994,335664,559933.03,-224269.03000000003,93.42
6004,336224,559979.9199999999,-223755.91999999993,93.27
6031,337736,559972.9,-222236.90000000002,92.85
6012,336672,559932.27,-223260.27000000002,93.14
6022,337232,559976.5,-222744.5,92.99
5974,334544,560001.38,-225457.38,93.74
6006,336336,559999.72,-223663.71999999997,93.24
6009,336504,559972.8,-223468.80000000005,93.19
6004,336224,559979.9199999999,-223755.91999999993,93.27
5996,335776,560013.2,-224237.19999999995,93.4
5987,335272,560011.99,-224739.99,93.54
6013,336728,559978.8400000001,-223250.84000000008,93.13
6017,336952,559924.48,-222972.47999999998,93.06
6012,336672,559932.27,-223260.27000000002,93.14
5983,335048,559957.6,-224909.59999999998,93.59
6004,336224,560026.56,-223802.56000000006,93.28
6004,336224,560026.56,-223802.56000000006,93.28
6003,336168,559979.9199999999,-223811.91999999993,93.28
6025,337400,559981.75,-222581.75,92.94
6015,336840,559998.25,-223158.25,93.1
5962,333872,559928.56,-226056.56000000006,93.92
6021,337176,559930.0,-222754.0,93.0
5999,335944,559926.66,-223982.66000000003,93.34
5986,335216,560025.0800000001,-224809.08000000007,93.56
5978,334768,560009.52,-225241.52000000002,93.68
6025,337400,559935.28,-222535.28000000003,92.94
5960,333760,559953.8200000001,-226193.82000000007,93.95
6004,336224,560026.56,-223802.56000000006,93.28
5984,335104,559991.36,-224887.36,93.58
6013,336728,559978.8400000001,-223250.84000000008,93.13
5982,334992,560017.42,-225025.42000000004,93.62
6001,336056,559960.0,-223904.0,93.31
6015,336840,559951.7,-223111.69999999995,93.09
5983,335048,560004.3999999999,-224956.3999999999,93.6
6017,336952,559971.01,-223019.01,93.06
5996,335776,560013.2,-224237.19999999995,93.4
5965,334040,559997.1,-225957.09999999998,93.88
6031,337736,559972.9,-222236.90000000002,92.85
6018,337008,559971.01,-222963.01,93.05
5993,335608,559992.96,-224384.95999999996,93.44
6018,337008,559971.01,-222963.01,93.05
6011,336616,559992.38,-223376.38,93.16
6021,337176,559976.5,-222800.5,93.0
5959,333704,560013.41,-226309.41000000003,93.98
6011,336616,559945.8,-223329.80000000005,93.15
5992,335552,559959.4299999999,-224407.42999999993,93.45
5992,335552,560006.1599999999,-224454.15999999992,93.46
6022,337232,559976.5,-222744.5,92.99
5992,335552,559959.4299999999,-224407.42999999993,93.45
5986,335216,560025.0800000001,-224809.08000000007,93.56
5961,333816,559941.2,-226125.19999999995,93.93
5953,333368,559982.0800000001,-226614.08000000007,94.07
5972,334432,559980.19,-225548.18999999994,93.77
6014,336784,560011.8400000001,-223227.84000000008,93.12
6008,336448,559972.8,-223524.80000000005,93.2
6035,337960,559977.6,-222017.59999999998,92.79
5993,335608,559946.24,-224338.24,93.43
5997,335832,559953.24,-224121.24,93.37
5971,334376,559933.3,-225557.30000000005,93.78
5981,334936,559970.61,-225034.61,93.62
5982,334992,560017.42,-225025.42000000004,93.62
5958,333648,559979.0,-226331.0,93.99
5999,335944,559973.3300000001,-224029.33000000007,93.34
